T01,T02,T03,T04,T05,T06,T07,T08,T09,T10
23,54,74,69,44,51,50,25,74,61
29,31,66,67,40,47,50,54,67,54
33,25,63,59,52,46,49,56,65,50
26,25,80,68,48,47,39,29,71,57
31,40,61,66,43,59,66,37,65,52
34,33,67,64,48,48,47,62,65,65
31,51,67,72,32,50,43,52,65,42
51,39,66,64,50,44,43,32,68,52
40,33,64,58,46,37,44,52,65,52
56,51,59,65,40,52,44,41,73,54
54,48,72,70,51,43,51,43,67,48
46,47,71,63,37,46,44,34,67,48
37,39,69,61,53,48,48,55,63,48
31,62,71,67,34,59,59,34,64,49
36,34,64,63,39,64,47,35,63,42
61,52,58,63,61,59,55,58,63,42
100,22,69,68,85,77,78,32,79,55
17,21,36,73,27,91,81,21,80,76
26,27,61,67,26,36,32,43,65,61
15,78,74,77,24,71,75,25,77,71
28,71,66,69,32,70,73,28,68,70
35,66,66,62,68,68,69,30,67,68
28,35,34,32,31,62,36,29,31,68
72,27,29,25,24,66,68,31,63,66
33,76,69,68,67,68,66,34,62,66
66,28,71,69,12,64,69,25,76,70
25,74,64,33,69,68,70,35,28,58
31,68,64,28,67,58,60,27,21,70
31,68,64,33,74,31,72,79,34,60
31,75,69,72,28,66,68,30,61,67
65,61,68,58,36,65,66,27,70,66
